Timestamp,Score,Time,Score/10s,Reflexes,Ball Speed
2023-11-22 21:38:07,0,72,903780,1,514563,30
2023-11-22 21:38:08,0,71,883790,1,507617,30
2023-11-22 21:38:09,0,70,862950,1,508931,30
2023-11-22 21:38:10,0,69,868620,1,514283,30
2023-11-22 21:38:11,0,68,841220,1,514283,30
2023-11-22 21:38:12,0,67,831440,1,514283,30
2023-11-22 21:38:13,0,66,824540,1,509759,30
2023-11-22 21:38:14,0,65,822110,1,509579,30
2023-11-22 21:38:15,0,64,836270,1,507101,30
2023-11-22 21:38:16,0,63,807340,1,491572,30
2023-11-22 21:38:17,0,62,793470,1,503255,30
2023-11-22 21:38:18,0,61,793260,1,503255,30
2023-11-22 21:38:19,0,60,773530,1,493373,30
2023-11-22 21:38:20,0,59,772610,1,493373,30
2023-11-22 21:38:21,0,58,773060,1,493373,30
2023-11-22 21:38:22,0,57,764630,1,504926,30
2023-11-22 21:38:23,0,56,743850,1,504871,30
2023-11-22 21:38:24,0,55,730580,1,508859,30
2023-11-22 21:38:25,0,54,72780,1,514815,30
2023-11-22 21:38:26,0,53,717820,1,509758,30
2023-11-22 21:38:27,0,52,700840,1,509685,30
2023-11-22 21:38:28,0,51,695470,1,516566,30
2023-11-22 21:38:29,0,50,688160,1,51077,30
2023-11-22 21:38:30,0,49,694520,1,506331,30
2023-11-22 21:38:31,0,48,669170,1,509849,30
2023-11-22 21:38:32,0,47,673750,1,510418,30
2023-11-22 21:38:33,0,46,670460,1,510418,30
2023-11-22 21:38:34,0,45,653430,1,509458,30
2023-11-22 21:38:35,0,44,653380,1,508513,30
2023-11-22 21:38:36,0,43,633090,1,504577,30
2023-11-22 21:38:37,0,42,622680,1,502449,30
2023-11-22 21:38:38,0,41,611660,1,506311,30
2023-11-22 21:38:39,0,40,600680,1,506311,30
2023-11-22 21:38:40,0,39,596370,1,508756,30
2023-11-22 21:38:41,0,38,580470,1,512572,30
2023-11-22 21:38:42,0,37,589570,1,514297,30
2023-11-22 21:38:43,0,36,562040,1,519096,30
2023-11-22 21:38:44,0,35,560640,1,519096,30
2023-11-22 21:38:45,0,34,546970,1,519096,30
2023-11-22 21:38:46,0,33,547550,1,511516,30
2023-11-22 21:38:47,0,32,542420,1,510443,30
2023-11-22 21:38:48,0,31,521360,1,507266,30
2023-11-22 21:38:49,0,30,515780,1,519349,30
2023-11-22 21:38:50,0,29,514370,1,505272,30
2023-11-22 21:38:51,0,28,512970,1,50205,30
2023-11-22 21:38:52,0,27,491760,1,50205,30
2023-11-22 21:38:53,0,26,478420,1,515893,30
2023-11-22 21:38:54,0,25,454830,1,515893,30
2023-11-22 21:38:55,0,24,455290,1,494244,30
2023-11-22 21:38:56,0,23,4520,1,498892,30
2023-11-22 21:38:57,0,22,432010,1,498892,30
2023-11-22 21:38:58,0,21,420470,1,507884,30
2023-11-22 21:38:59,0,20,423610,1,50577,30
2023-11-22 21:39:00,0,19,429930,1,501557,30
2023-11-22 21:39:02,0,18,425350,1,501557,30
2023-11-22 21:39:03,0,17,405120,1,516816,30
2023-11-22 21:39:04,0,16,395660,1,510727,30
2023-11-22 21:39:05,0,15,387240,1,510693,30
