Timestamp
Score
Time
Life
Score/10s
Life/10s
Reflexes
Ball Speed
Ball Spawn Rate
Life Spawn Rate
2023-11-22 00:13:45,4,8,10,0,0,0,10,4,8
2023-11-22 00:16:50,0,116,8025,1,0,1,1,505067,30,5,5
2023-11-22 00:16:51,0,115,8056,1,0,1,1,501267,30,5,5
2023-11-22 00:16:52,0,114,8105,1,0,1,1,501267,30,5,5
2023-11-22 00:16:53,0,113,8095,1,0,1,1,504295,30,5,5
2023-11-22 00:16:54,0,112,8036,1,0,1,1,504295,30,5,5
2023-11-22 00:16:55,0,111,8013,1,0,1,1,503391,30,5,5
2023-11-22 00:16:56,0,110,8067,1,0,1,1,504473,30,5,5
2023-11-22 00:16:57,0,109,8101,1,0,1,1,501999,30,5,5
2023-11-22 00:16:58,0,108,7952,1,0,1,1,503838,30,5,5
2023-11-22 00:16:59,0,107,7821,1,0,1,1,502012,30,5,5
2023-11-22 00:17:00,0,106,782,1,0,1,1,506649,30,5,5
2023-11-22 00:17:01,0,105,7818,1,0,1,1,506675,30,5,5
2023-11-22 00:17:02,0,104,7665,1,0,1,1,506675,30,5,5
2023-11-22 00:17:03,0,103,7616,1,0,1,1,507997,30,5,5
2023-11-22 00:17:04,0,102,7658,1,0,1,1,507997,30,5,5
2023-11-22 00:17:05,0,101,7621,1,0,1,1,509003,30,5,5
2023-11-22 00:17:06,0,100,7471,1,0,1,1,509484,30,5,5
2023-11-22 00:17:07,0,99,74786,1,0,1,1,509484,30,5,5
2023-11-22 00:17:08,0,98,74338,1,0,1,1,504694,30,5,5
2023-11-22 00:17:09,0,97,7494,1,0,1,1,50311,30,5,5
2023-11-22 00:17:10,0,96,72307,1,0,1,1,50311,30,5,5
2023-11-22 00:17:11,0,95,72414,1,0,1,1,505378,30,5,5
2023-11-22 00:17:12,0,94,72449,1,0,1,1,50686,30,5,5
2023-11-22 00:17:13,0,93,71112,1,0,1,1,504988,30,5,5
2023-11-22 00:17:14,0,92,70973,1,0,1,1,503959,30,5,5
2023-11-22 00:17:15,0,91,70786,1,0,1,1,505344,30,5,5
2023-11-22 00:17:16,0,90,70799,1,0,1,1,505344,30,5,5
2023-11-22 00:17:17,0,89,70981,1,0,1,1,506898,30,5,5
2023-11-22 00:17:18,0,88,68655,1,0,1,1,506898,30,5,5
2023-11-22 00:17:19,0,87,68434,1,0,1,1,502434,30,5,5
2023-11-22 00:17:20,0,86,68672,1,0,1,1,501501,30,5,5
2023-11-22 00:17:21,0,85,66664,1,0,1,1,501292,30,5,5
2023-11-22 00:17:22,0,84,66721,1,0,1,1,501292,30,5,5
2023-11-22 00:17:23,0,83,67848,1,0,1,1,50218,30,5,5
2023-11-22 00:17:24,0,82,66585,1,0,1,1,504573,30,5,5
2023-11-22 00:17:25,0,81,6499,1,0,1,1,50318,30,5,5
2023-11-22 00:17:26,0,80,65034,1,0,1,1,508096,30,5,5
2023-11-22 00:17:27,0,79,6416,1,0,1,1,504244,30,5,5
